customerID,p_churn_6m,p_churn_12m
9943-VSZUV,0.8455793252497239,0.8455793252497239
2386-OWURY,0.2848359606219074,0.8281250554115853
2101-RANCD,0.4348824960340232,0.793229494635691
7251-XFOIL,0.360927317027843,0.7655200319480508
5921-NGYRH,0.5813340227773713,0.7414997057628181
2478-EEWWM,0.23234318768413875,0.7340730650456577
9501-UKKNL,0.22710141371917425,0.7248516124630586
4238-HFHSN,0.3232812896599291,0.717752745642706
4553-DVPZG,0.3880185341103488,0.7133942725577934
0929-PECLO,0.45406282691754785,0.7104861703195567
7346-MEDWM,0.21055594985280746,0.6940523243110099
3863-QSTYI,0.2074620997986235,0.6879986638529969
2277-DJJDL,0.24512935515820855,0.6842292937147372
8647-SDTWQ,0.2493703830155648,0.6760373522875056
1215-FIGMP,0.23926262680315047,0.6740474952610244
8785-CJSHH,0.23037757574422646,0.6581571023290405
8535-SFUTN,0.2805590768624351,0.6558445529440065
2957-JIRMN,0.33837618169833283,0.6504690920406719
7426-WEIJX,0.22605428313020892,0.6502166677115111
0531-ZZJWQ,0.31162540268279626,0.6434459175356149
7901-TBKJX,0.25671117030645985,0.6348291208351249
6211-WHMYA,0.4683612375283138,0.625315824909016
6908-VVYHM,0.5313399631279639,0.6222942477284946
0924-BJCRC,0.2091969285605083,0.6179158303687811
4450-MDZFX,0.20755950823817815,0.6146623658652248
6968-GMKPR,0.2840307705046843,0.6025652539920164
1935-IMVBB,0.23692830087848482,0.600761102278494
3714-NTNFO,0.33350655830759046,0.5956024052456651
1867-TJHTS,0.15451514871291705,0.5859080972288957
1930-WNXSB,0.15344554500112073,0.5831489275382542
1640-PLFMP,0.37283383792281644,0.5656387870684632
4220-TINQT,0.22679375230230303,0.5653421136512958
6212-ATMLK,0.3345414772769746,0.5645775787812046
9605-WGJVW,0.37189009258363537,0.5644698504693089
3878-AVSOQ,0.37188180451778186,0.5644595786214788
8065-BVEPF,0.4748566045497925,0.5628373095520622
5542-TBBWB,0.3658603969785317,0.5569687393607943
7465-ZZRVX,0.36585688451146514,0.5569643533141067
9603-OAIHC,0.3649272329390312,0.5558028172726022
7824-PANSQ,0.14295363683486173,0.5552861145309833
1013-QCWAM,0.5546568793857716,0.5546568793857716
3999-WRNGR,0.1786092041760473,0.5536039049894285
0093-EXYQL,0.3000233743376516,0.5520761693118275
4191-XOVOM,0.3231448631812599,0.550369271377358
7872-RDDLZ,0.5493104173414787,0.5493104173414787
4685-ERGHK,0.18353276726474954,0.5492142377230886
0621-HJWXJ,0.31965924972670123,0.5456143980399115
7147-AYBAA,0.33547353256628487,0.5440998018703653
9693-XMUOB,0.14483349261344658,0.5433132921839101
4482-EWFMI,0.34450538684007637,0.5384773269206737
7394-LWLYN,0.3445020201017317,0.5384729873030466
6377-WHAOX,0.17155060124290578,0.5376682180355323
5647-FXOTP,0.17104878731772766,0.5365191650913959
2675-DHUTR,0.13486282031144292,0.5327859997843454
7245-NIIWQ,0.3320983236183379,0.5307212313512589
6077-BDPXA,0.332096138170631,0.5307183530565507
9633-XQABV,0.3320954096904102,0.5307173936262437
2897-DOVND,0.3379072672673443,0.5299370437882482
9717-QEBGU,0.33790357839299123,0.5299322492218985
7439-DKZTW,0.34324166803118705,0.5283290000684564
1728-CXQBE,0.38104143042722316,0.5254462085546221
4001-TSBTV,0.13069939222224214,0.5208537336287193
1035-IPQPU,0.29824239095256744,0.515836656038505
1125-SNVCK,0.27626266250019127,0.5139719056156535
0644-OQMDK,0.3169177520912897,0.5100045675872273
5019-GQVCR,0.2564532316759156,0.509639675889143
5032-MIYKT,0.32820128871572285,0.5088487497894609
7233-DRTRF,0.2931229796665956,0.5085754123726676
8309-IEYJD,0.32733979880272235,0.5077224448102069
9112-WSNPU,0.276018007235152,0.50650616837403
4989-LIXVT,0.5064439652548967,0.5064439652548967
9776-OJUZI,0.42256263117654524,0.5061363239497199
9391-YZEJW,0.24059604600778428,0.5036093721909132
7529-ZDFXI,0.1629754437586266,0.502943508643088
6357-JJPQT,0.31103068956995605,0.5025924502704237
4234-XTNEA,0.31656717341566964,0.5018299531527957
5018-GWURO,0.18545395120662433,0.5016888931032889
8058-DMYRU,0.2477791881455702,0.5010736394740484
9617-INGJY,0.32183568996973977,0.500499608046115
5397-TUPSH,0.4173564410601833,0.500408663316801
2208-UGTGR,0.1845884159593798,0.49988859059791246
2262-SLNVK,0.321078815099634,0.49950276612224787
3349-ANQNH,0.1288834441470662,0.4990189494291719
1730-ZMAME,0.24243869817981856,0.4983197097433105
3453-RTHJQ,0.30652838939677196,0.4969043796836664
6896-SRVYQ,0.24775778486331468,0.4965163535647965
4462-CYWMH,0.2360523185014305,0.49601614010593986
6917-YACBP,0.1272568124602269,0.49431523463167615
8728-SKJLR,0.2564210545706094,0.4933540592800012
3893-JRNFS,0.4913279257306089,0.4913279257306089
6300-BWMJX,0.12576536054216914,0.4899714178362734
8498-XXGWA,0.4071881111885015,0.4891798486149044
9701-CDXHR,0.27931133522260354,0.4878561244871631
4291-SHSBH,0.30136872737962483,0.48776065459517004
3428-MMGUB,0.14956970593116004,0.4852774808503335
